name,taxonomy,imageURL,remarks,temprange,phRange,detailsUrl
"Chao Phraya giant shark, giant pangasius",Pangasius sanitwongsei,https://upload.wikimedia.org//wikipedia/commons/9/99/Pangasiidae_-_Pangasius_sanitwongsei.jpg,,,,https://en.wikipedia.org//wiki/Pangasius_sanitwongsei
Colombian shark catfish,Ariopsis seemanni,https://upload.wikimedia.org//wikipedia/commons/f/f6/MA_Luisenpark_Sciades_seemanni.jpg,,,,https://en.wikipedia.org//wiki/Ariopsis_seemanni
Blue whale catfish,Cetopsis coecutiens,,,,,
Banjo catfish,Bunocephalus coracoideus,,,,,
Striped raphael catfish,Platydoras armatulus,https://upload.wikimedia.org//wikipedia/commons/7/78/Platydoras_costatus_5_%28Piotr_Kuczynski%29.jpg,,,,https://en.wikipedia.org//wiki/Platydoras_armatulus
Spotted raphael catfish,Agamyxis pectinifrons,https://upload.wikimedia.org//wikipedia/commons/7/7e/Dornwels.JPG,,,,
Bottlenose catfish,Ageneiosus marmoratus,,,,,https://en.wikipedia.org//wiki/Ageneiosus_marmoratus
Gulper catfish,Asterophysus batrachus,,,,,
Midnight catfish,Auchenipterichthys coracoideus,,,,,
Oil catfish,Centromochlus perugiae,,,,,
Jaguar catfish,Liosomadoras oncinus,,,,,
Pygmy driftwood catfish,Trachelyichthys exilis,,,,,
Black phantom tetra,Hyphessobrycon megalopterus,https://upload.wikimedia.org//wikipedia/commons/4/40/Hyphessobrycon_megalopterus_Porte_Doree.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_megalopterus
Black neon tetra,Hyphessobrycon herbertaxelrodi,https://upload.wikimedia.org//wikipedia/commons/2/2d/Black_neon_tetra.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_herbertaxelrodi
"Black tetra, skirt tetra",Gymnocorymbus ternetzi,https://upload.wikimedia.org//wikipedia/commons/c/c4/Adulter_Trauermantelsalmer-Gymnocorymbus_ternetzi.jpg,,,,https://en.wikipedia.org//wiki/Gymnocorymbus_ternetzi
Bleeding heart tetra,Hyphessobrycon erythrostigma,https://upload.wikimedia.org//wikipedia/commons/9/98/Kirschflecksalmler-W.jpg,,,,https://en.wikipedia.org//wiki/Hyphessobrycon_erythrostigma
